id;name;city;age;version
0;Rutherford;Cheyenne;70;1
1;Theodore;Tallahassee;15;1
2;Dwight;Atlanta;100;1
3;Ronald;Columbus;66;1
4;Thomas;Salem;18;1
5;Theodore;Albany;12;1
6;Lyndon;Santa Fe;99;1
7;John;Oklahoma City;50;1
8;Lyndon;Oklahoma City;25;1
9;William;Saint Paul;78;1
10;Ronald;Tallahassee;83;1
11;Abraham;Charleston;83;1
12;George;Baton Rouge;88;1
13;Martin;Bismarck;98;1
14;Harry;Montpelier;49;1
15;Chester;Madison;98;1
16;Calvin;Baton Rouge;73;1
17;Franklin;Annapolis;91;1
18;Theodore;Dover;99;1
19;Grover;Jefferson City;59;1
20;Woodrow;Bismarck;69;1
21;Franklin;Carson City;71;1
22;Lyndon;Springfield;26;1
23;Dwight;Austin;91;1
24;Benjamin;Hartford;96;1
25;Chester;Sacramento;80;1
26;Millard;Pierre;0;1
27;George;Helena;73;1
28;Theodore;Little Rock;100;1
29;Thomas;Tallahassee;78;1
30;Richard;Concord;65;1
31;George;Columbia;45;1
32;Grover;Baton Rouge;24;1
33;Rutherford;Olympia;46;1
34;George;Phoenix;9;1
35;Herbert;Annapolis;85;1
36;George;Montpelier;59;1
37;Andrew;Montpelier;54;1
38;Richard;Carson City;18;1
39;Benjamin;Lansing;82;1
40;Grover;Saint Paul;34;1
41;Jimmy;Topeka;43;1
42;Ronald;Honolulu;44;1
43;Bill;Salem;76;1
44;Richard;Montgomery;78;1
45;Benjamin;Pierre;65;1
46;Bill;Olympia;99;1
47;Rutherford;Hartford;54;1
48;Rutherford;Oklahoma City;11;1
49;Woodrow;Sacramento;74;1
50;Chester;Indianapolis;41;1
51;Harry;Jefferson City;55;1
52;Warren;Jefferson City;91;1
53;Andrew;Montgomery;22;1
54;Thomas;Trenton;0;1
55;John;Harrisburg;32;1
56;Ulysses;Carson City;9;1
57;George;Pierre;97;1
58;Woodrow;Saint Paul;58;1
59;Franklin;Olympia;53;1
60;Andrew;Salem;45;1
61;Thomas;Helena;33;1
62;Millard;Charleston;66;1
63;Woodrow;Jefferson City;22;1
64;Calvin;Indianapolis;19;1
65;Benjamin;Richmond;30;1
66;Dwight;Albany;14;1
67;John;Des Moines;80;1
68;Herbert;Boston;97;1
69;William;Dover;0;1
70;Benjamin;Austin;55;1
71;Calvin;Tallahassee;67;1
72;Jimmy;Cheyenne;31;1
73;Warren;Richmond;16;1
74;Bill;Olympia;27;1
75;Zachary;Dover;16;1
76;Millard;Albany;82;1
77;Warren;Santa Fe;88;1
78;Ronald;Providence;63;1
79;Abraham;Juneau;88;1
80;Andrew;Salem;77;1
81;Theodore;Juneau;88;1
82;Ulysses;Columbia;46;1
83;William;Montpelier;56;1
84;Andrew;Denver;28;1
85;George;Montgomery;20;1
86;John;Lincoln;79;1
87;Ulysses;Little Rock;65;1
88;Chester;Richmond;0;1
89;Ulysses;Phoenix;52;1
90;Chester;Boise;9;1
91;Ulysses;Carson City;52;1
92;Grover;Salt Lake City;9;1
93;Gerald;Hartford;64;1
94;Harry;Trenton;53;1
95;Ronald;Carson City;26;1
96;Dwight;Oklahoma City;81;1
97;Richard;Indianapolis;19;1
98;Theodore;Raleigh;21;1
99;Jimmy;Hartford;95;1
100;Grover;Lansing;16;1
101;Dwight;Juneau;4;1
102;Richard;Tallahassee;95;1
103;Chester;Cheyenne;46;1
104;Martin;Honolulu;82;1
105;Martin;Carson City;63;1
106;Woodrow;Phoenix;89;1
107;Calvin;Annapolis;55;1
108;Benjamin;Lincoln;61;1
109;Bill;Montpelier;58;1
110;Theodore;Pierre;54;1
111;Thomas;Annapolis;20;1
112;James;Olympia;46;1
113;Franklin;Frankfort;83;1
114;Martin;Salt Lake City;36;1
115;Ronald;Carson City;76;1
116;Andrew;Annapolis;45;1
117;Thomas;Frankfort;14;1
118;Lyndon;Jackson;65;1
119;Jimmy;Atlanta;21;1
120;Grover;Raleigh;33;1
121;Andrew;Juneau;26;1
122;Chester;Tallahassee;50;1
123;Rutherford;Baton Rouge;4;1
124;Abraham;Frankfort;15;1
125;Woodrow;Jefferson City;45;1
126;James;Annapolis;6;1
127;Bill;Montpelier;28;1
128;Bill;Indianapolis;8;1
129;Dwight;Charleston;68;1
130;George;Dover;72;1
131;Herbert;Charleston;59;1
132;John;Richmond;5;1
133;William;Bismarck;22;1
134;Chester;Richmond;55;1
135;Richard;Juneau;79;1
136;Rutherford;Austin;33;1
137;Martin;Jackson;47;1
138;Harry;Columbia;11;1
139;Zachary;Baton Rouge;75;1
